parentLabel,childLabel
Q97696530,Q13093804
Sudeshnavati,Jyotsyana
Devayānī,Yadu
Bhīma,Ghaṭotkaca
Bhīma,Sutasoma
Shurasena,Kuntī
Shurasena,Vasudeva
Kuru,Vyushitaswa
Puru,Janamejaya
Sharmishtha,Puru
Sharmishtha,Druhyu
Vikarna,Jyotsyana
Vrishparva,Sharmishtha
Wives of Duryodhana,Laxman Kumara
Wives of Duryodhana,Lakshmanaa
Brihadratha,Jarāsandha
Sudeshna,Uttarā
Sudeshna,Uttara
Kakudmi,Revatī
Krishna,Samba
Krishna,Pradyumna
Arjuna,Abhimanyu
Arjuna,Irāvān
Arjuna,Babhruvāhana
Abhimanyu,Parīkṣit
Devakī,Krishna
Devakī,Balarama
Devakī,Subhadrā
Duṣyanta,Bharata
Gangā,Bhīṣma
Kuntī,Arjuna
Kuntī,Yudhiṣṭhira
Kuntī,Karṇa
Kuntī,Bhīma
Pāṇḍu,Arjuna
Pāṇḍu,Pāṇḍava
Pāṇḍu,Yudhiṣṭhira
Pāṇḍu,Nakula
Pāṇḍu,Sahadeva
Pāṇḍu,Bhīma
Vasudeva,Krishna
Vasudeva,Subhadrā
Droṇa,Aśvatthāmā
Dhṛtarāṣṭra,Duryodhana
Dhṛtarāṣṭra,Duḥśāsana
Dhṛtarāṣṭra,Yuyutsu
Dhṛtarāṣṭra,Duhsala
Dhṛtarāṣṭra,Vikarna
Dhṛtarāṣṭra,Śala
Śakuntalā,Bharata
Draupadī,Shrutakarma
Draupadī,Sutasoma
Draupadī,Prativindhya
Bharata,Indradyumna
Bharata,Bhumanyu
Duryodhana,Laxman Kumara
Duryodhana,Lakshmanaa
Ila,Purūravas
Mādrī,Nakula
Mādrī,Sahadeva
Gāndhārī,Duryodhana
Gāndhārī,Duḥśāsana
Gāndhārī,Duhsala
Gāndhārī,Vikarna
Śāntanu,Bhīṣma
Śāntanu,Vichitravirya
Śāntanu,Chitrāngada
Ghaṭotkaca,Barbarika
Nakula,Shrutsena
Subhadrā,Abhimanyu
Śakuni,Uluka
Ambalika,Pāṇḍu
Ambika,Dhṛtarāṣṭra
Satyavatī,Vyāsa
Satyavatī,Vichitravirya
Satyavatī,Chitrāngada
Parīkṣit,Janamejaya
Yayāti,Yadu
Yayāti,Puru
Yayāti,Druhyu
Yayāti,Madhavi
Yayāti,Anu
Kamsa,Askia Musa
Chitrangada,Babhruvāhana
Drupada,Draupadī
Drupada,Śikhaṇḍī
Drupada,Dhṛṣṭadyumna
Uttarā,Parīkṣit
Hiḍimbī,Ghaṭotkaca
Anasuya,Dattatreya
Anasuya,Chandra
Anasuya,Durvāsā
Nahuṣa,Yayāti
Jarāsandha,Sahadeva of Magadha
Ulūpī,Irāvān
Karṇa,Vrishasena
Karṇa,Vrishaketu
Karṇa,Banasena
Ugrasena,Kamsa
Virāṭa,Uttarā
Virāṭa,Uttara
