personLabel,siblingLabel
Krishna,Balarama
Krishna,Subhadrā
Arjuna,Yudhiṣṭhira
Arjuna,Nakula
Arjuna,Sahadeva
Arjuna,Karṇa
Arjuna,Bhīma
Vasudeva,Samudravijaya
Droṇa,Ilavida
Yudhiṣṭhira,Arjuna
Yudhiṣṭhira,Nakula
Yudhiṣṭhira,Sahadeva
Yudhiṣṭhira,Karṇa
Yudhiṣṭhira,Bhīma
Draupadī,Śikhaṇḍī
Draupadī,Dhṛṣṭadyumna
Balarama,Krishna
Balarama,Jagannath
Balarama,Subhadrā
Duryodhana,Duḥśāsana
Duryodhana,Duhsala
Duryodhana,Vikarna
Kali,Durukti
Mādrī,Śalya
Śāntanu,Devapi
Śāntanu,Bahlika
Nakula,Arjuna
Nakula,Yudhiṣṭhira
Nakula,Sahadeva
Nakula,Karṇa
Nakula,Bhīma
Subhadrā,Krishna
Subhadrā,Balarama
Subhadrā,Jagannath
Vichitravirya,Chitrāngada
Chitrāngada,Vichitravirya
Sahadeva,Arjuna
Sahadeva,Yudhiṣṭhira
Sahadeva,Nakula
Sahadeva,Karṇa
Sahadeva,Bhīma
Duḥśāsana,Duryodhana
Duḥśāsana,Duhsala
Duḥśāsana,Vikarna
Kṛpa,Kripi
Śikhaṇḍī,Draupadī
Śikhaṇḍī,Dhṛṣṭadyumna
Dhṛṣṭadyumna,Draupadī
Dhṛṣṭadyumna,Śikhaṇḍī
Śalya,Mādrī
Kīcaka,Sudeshna
Uttarā,Uttara
Hiḍimbī,Hidimba
Anasuya,Kapila
Anasuya,Arundhati
Anasuya,Khyati
Duhsala,Duryodhana
Duhsala,Duḥśāsana
Duhsala,Vikarna
Karṇa,Arjuna
Karṇa,Yudhiṣṭhira
Karṇa,Nakula
Karṇa,Sahadeva
Karṇa,Bhīma
Samba,Pradyumna
Dhanumati,Wives of Duryodhana
Mucukunda,Ambarisha
Bhīma,Arjuna
Bhīma,Yudhiṣṭhira
Bhīma,Nakula
Bhīma,Sahadeva
Bhīma,Karṇa
Uttara,Uttarā
Shurasena,Parjanya
Devapi,Śāntanu
Devapi,Bahlika
Vikarna,Duryodhana
Vikarna,Duḥśāsana
Vikarna,Duhsala
Bahlika,Śāntanu
Bahlika,Devapi
Wives of Duryodhana,Dhanumati
Sudeshna,Kīcaka
