personLabel,spouseLabel
Krishna,Rādhā
Krishna,Rukmiṇī
Krishna,Satyabhāmā
Krishna,Jāmbavatī
Krishna,Lalita
Krishna,Bhadra
Krishna,Lakshmana
Krishna,Mitravinda
Krishna,Nagnajiti
Krishna,Rohini
Krishna,Kalindi
Arjuna,Draupadī
Arjuna,Subhadrā
Arjuna,Chitrangada
Arjuna,Ulūpī
Abhimanyu,Uttarā
Devakī,Vasudeva
Duṣyanta,Śakuntalā
Gangā,Śāntanu
Atri,Anasuya
Kuntī,Pāṇḍu
Pāṇḍu,Kuntī
Pāṇḍu,Mādrī
Vasudeva,Devakī
Droṇa,Kripi
Dhṛtarāṣṭra,Gāndhārī
Śakuntalā,Duṣyanta
Yudhiṣṭhira,Draupadī
Yudhiṣṭhira,Devika
Draupadī,Arjuna
Draupadī,Yudhiṣṭhira
Draupadī,Nakula
Draupadī,Sahadeva
Draupadī,Bhīma
Balarama,Revatī
Bharata,Bhumanyu
Duryodhana,Wives of Duryodhana
Manasā,Jaratkaru
Kali,Alakshmi
Kali,Durukti
Ila,Budha
Mādrī,Pāṇḍu
Gāndhārī,Dhṛtarāṣṭra
Śāntanu,Gangā
Śāntanu,Satyavatī
Ghaṭotkaca,Ahilawati
Nakula,Draupadī
Nakula,Karenumati
Subhadrā,Arjuna
Vichitravirya,Ambalika
Vichitravirya,Ambika
Ambalika,Vichitravirya
Rohini Devi,Vasudeva
Ambika,Vichitravirya
Sahadeva,Draupadī
Satyavatī,Śāntanu
Yayāti,Devayānī
Yayāti,Sharmishtha
Chitrangada,Arjuna
Jayadratha,Duhsala
Uttarā,Abhimanyu
Hiḍimbī,Bhīma
Anasuya,Atri
Nala,Damayantī
Nahuṣa,Ashokasundari
Duhsala,Jayadratha
Ahilawati,Ghaṭotkaca
Ulūpī,Arjuna
Karṇa,Wives of Karna
Samba,Lakshmanaa
Aniruddha,Usha
Virāṭa,Sudeshna
Rishyasringa,Shanta
Tilottama,Aniruddha
Lakshmanaa,Samba
Devika,Yudhiṣṭhira
Sudeshnavati,Vikarna
Nirjara,Duḥśāsana
Dhanumati,Dhṛṣṭadyumna
Dhanumati,Dhṛṣṭadyumna
Q134447107,Duryodhana
Q136796061,Dhṛṣṭadyumna
Devayānī,Yayāti
Damayantī,Nala
Revatī,Balarama
Bhīma,Draupadī
Bhīma,Hiḍimbī
Sharmishtha,Yayāti
Vikarna,Sudeshnavati
Wives of Duryodhana,Duryodhana
Bhadra,Krishna
Lakshmana,Krishna
Sudeshna,Virāṭa
Jaratkaru,Manasā
